playerid,yearid,teamid,ab
blefacu01,1967,BAL,554
blefacu01,1969,HOU,542
bloodji01,1941,WS1,506
bloodji01,1942,DET,533
bluegos01,1925,WS1,522
bluegos01,1927,WS1,503
bluegos01,1928,WS1,518
bluegos01,1931,WS1,570
bluegos01,1932,WS1,507
bluegos01,1933,WS1,501
bluelu01,1921,DET,585
bluelu01,1922,DET,584
bluelu01,1923,DET,504
bluelu01,1925,DET,532
bluelu01,1928,SLA,549
bluelu01,1929,SLA,573
bluelu01,1931,CHA,589
bochtbr01,1979,SEA,554
bochtbr01,1980,SEA,520
bochtbr01,1982,SEA,509
bodiepi01,1911,CHA,551
bodiepi01,1917,PHA,557
boeckto01,1920,BSN,582
boeckto01,1921,BSN,592
boeckto01,1923,BSN,568
bogaexa01,2014,BOS,538
bogaexa01,2015,BOS,613
bogaexa01,2016,BOS,652
bogaexa01,2017,BOS,571
boggswa01,1983,BOS,582
boggswa01,1984,BOS,625
boggswa01,1985,BOS,653
boggswa01,1986,BOS,580
boggswa01,1987,BOS,551
boggswa01,1988,BOS,584
boggswa01,1989,BOS,621
boggswa01,1990,BOS,619
boggswa01,1991,BOS,546
boggswa01,1992,BOS,514
boggswa01,1993,NYA,560
boggswa01,1996,NYA,501
bohnesa01,1921,CIN,613
bohnesa01,1923,CIN,539
bollifr01,1957,DET,576
bollifr01,1958,DET,610
bollifr01,1960,DET,536
bollifr01,1961,ML1,585
bollifr01,1963,ML1,542
bollifr01,1965,ML1,535
bondsba01,1987,PIT,551
bondsba01,1988,PIT,538
bondsba01,1989,PIT,580
bondsba01,1990,PIT,519
bondsba01,1991,PIT,510
bondsba01,1993,SFN,539
bondsba01,1995,SFN,506
bondsba01,1996,SFN,517
bondsba01,1997,SFN,532
bondsba01,1998,SFN,552
bondsbo01,1969,SFN,622
bondsbo01,1970,SFN,663
bondsbo01,1971,SFN,619
bondsbo01,1972,SFN,626
bondsbo01,1973,SFN,643
bondsbo01,1974,SFN,567
bondsbo01,1975,NYA,529
bondsbo01,1977,CAL,592
bondsbo01,1979,CLE,538
bondwa01,1964,HOU,543
bonifem01,2011,FLO,565
bonilbo01,1988,PIT,584
bonilbo01,1989,PIT,616
bonilbo01,1990,PIT,625
bonilbo01,1991,PIT,577
bonilbo01,1993,NYN,502
bonilbo01,1996,BAL,595
bonilbo01,1997,FLO,562
bonilju01,1983,SDN,556
bonurze01,1934,CHA,510
bonurze01,1935,CHA,550
bonurze01,1936,CHA,587
bonurze01,1938,WS1,540
booneaa01,2002,CIN,606
booneaa01,2005,CLE,511
boonebo01,1973,PHI,521
boonebr01,1995,CIN,513
boonebr01,1996,CIN,520
boonebr01,1998,CIN,583
boonebr01,1999,ATL,608
boonebr01,2001,SEA,623
boonebr01,2002,SEA,608
boonebr01,2003,SEA,622
boonebr01,2004,SEA,593
boonera01,1951,CLE,544
boonera01,1954,DET,543
bordafr01,1944,BRO,501
bordimi01,1992,OAK,504
bordimi01,1993,OAK,546
bordimi01,1996,OAK,525
bordimi01,1997,BAL,509
bordimi01,1999,BAL,631
bortoba01,1915,SLF,549
bosetri01,1978,TOR,568
bosetri01,1979,TOR,619
bostoly01,1977,MIN,593
bostoly01,1978,CAL,568
bottoji01,1923,SLN,523
bottoji01,1924,SLN,528
bottoji01,1925,SLN,619
bottoji01,1926,SLN,603
bottoji01,1927,SLN,574
bottoji01,1928,SLN,576
bottoji01,1929,SLN,560
bottoji01,1933,CIN,549
bottoji01,1934,CIN,556
bottoji01,1936,SLA,544
bouchal01,1914,SLF,516
bouched01,1957,PHI,574
boudrlo01,1940,CLE,627
boudrlo01,1941,CLE,579
boudrlo01,1942,CLE,506
boudrlo01,1943,CLE,539
boudrlo01,1944,CLE,584
boudrlo01,1946,CLE,515
boudrlo01,1947,CLE,538
boudrlo01,1948,CLE,560
bourjpe01,2011,LAA,502
bournmi01,2009,HOU,606
bournmi01,2010,HOU,535
bournmi01,2012,ATL,624
bournmi01,2013,CLE,525
bowala01,1970,PHI,547
bowala01,1971,PHI,650
bowala01,1972,PHI,579
bowala01,1974,PHI,669
bowala01,1975,PHI,583
bowala01,1976,PHI,624
bowala01,1977,PHI,624
bowala01,1978,PHI,654
bowala01,1979,PHI,539
bowala01,1980,PHI,540
bowensa01,1964,BAL,501
boyercl02,1961,NYA,504
boyercl02,1962,NYA,566
